date,temp_c,condition,wind,wind_speed_mps
2024-01-01,4.6,overskyet,liten kuling,22.3
2024-01-02,3.2,regn,svak vind,2.5
2024-01-03,1.4,regn,svak vind,2.8
2024-01-04,4.8,regn,svak vind,3.2
2024-01-05,2.1,regn,svak vind,2.2
2024-01-06,3.8,sludd,lett bris,5.5
2024-01-07,3.8,regn,stille,0.1
2024-01-08,2.3,regn,svak vind,3.1
2024-01-09,2.8,regn,laber bris,12.4
2024-01-10,4.4,regn,laber bris,10.4
2024-01-11,3.7,regn,frisk bris,15.3
2024-01-12,4.5,regn,laber bris,12.2
2024-01-13,5.8,regn,frisk bris,13.6
2024-01-14,2.2,snø,svak vind,2.9
2024-01-15,1.0,snø,svak vind,2.5
2024-01-16,0.4,snø,svak vind,2.6
2024-01-17,2.3,regn,svak vind,2.2
2024-01-18,1.4,snø,svak vind,3.0
2024-01-19,3.0,regn,lett bris,6.4
2024-01-20,0.6,snø,svak vind,3.0
2024-01-21,4.6,regn,lett bris,7.4
2024-01-22,3.5,regn,svak vind,2.7
2024-01-23,3.2,regn,frist bris,14.1
2024-01-24,5.1,regn,lett bris,6.0
2024-01-25,3.7,regn,frisk bris,14.0
2024-01-26,0.1,snø,lett bris,3.7
2024-01-27,3.5,regn,lett bris,5.2
2024-01-28,1.8,snø,svak vind,3.0
2024-01-29,5.4,regn,laber bris,9.9
2024-01-30,5.6,regn,lett bris,5.3
2024-01-31,0.4,snø,svak vind,2.3
2024-02-01,5.2,regn,frisk bris,13.3
2024-02-02,1.2,snø,svak vind,2.2
2024-02-03,4.2,regn,laber bris,11.3
2024-02-04,4.3,regn,lett bris,4.3
2024-02-05,4.4,regn,svak vind,1.7
2024-02-06,0.0,snø,svak vind,2.8
2024-02-07,4.1,regn,laber bris,9.2
2024-02-08,3.1,regn,svak vind,2.3
2024-02-09,4.6,regn,laber bris,8.9
2024-02-10,5.2,regn,frisk bris,15.3
2024-02-11,3.5,regn,lett bris,4.4
2024-02-12,4.5,regn,svak vind,2.4
2024-02-13,4.0,regn,lett bris,4.1
2024-02-14,4.3,regn,laber bris,11.7
2024-02-15,1.7,snø,svak vind,2.6
2024-02-16,2.7,sludd,lett bris,6.8
2024-02-17,4.3,regn,lett bris,6.0
2024-02-18,0.6,snø,svak vind,2.7
2024-02-19,2.2,regn,lett bris,4.8
2024-02-20,1.6,snø,svak vind,2.5
2024-02-21,3.1,regn,laber bris,9.0
2024-02-22,1.3,snø,svak vind,2.9
2024-02-23,2.3,sludd,lett bris,4.6
2024-02-24,4.4,regn,lett bris,5.0
2024-02-25,4.8,regn,laber bris,9.9
2024-02-26,0.0,snø,svak vind,2.6
2024-02-27,4.1,regn,lett bris,5.1
2024-02-28,4.6,regn,lett bris,5.7
2024-03-01,4.9,regn,laber bris,9.2
2024-03-02,5.9,regn,laber bris,11.4
2024-03-03,3.3,regn,svak vind,1.8
2024-03-04,5.3,regn,lett bris,5.2
2024-03-05,0.3,snø,svak vind,2.3
2024-03-06,5.2,regn,lett bris,4.9
2024-03-07,6.6,regn,lett bris,5.2
2024-03-08,6.3,regn,lett bris,3.9
2024-03-09,3.0,sludd,lett bris,3.5
2024-03-10,6.4,regn,lett bris,5.0
2024-03-11,4.9,regn,lett bris,5.9
2024-03-12,6.3,regn,lett bris,4.1
2024-03-13,5.3,regn,laber bris,9.2
2024-03-14,4.3,regn,lett bris,5.2
2024-03-15,5.3,regn,svak vind,2.9
2024-03-16,4.4,overskyet,svak vind,2.7
2024-03-17,4.9,regn,laber bris,8.9
2024-03-18,4.5,regn,lett bris,5.3
2024-03-19,5.7,regn,lett bris,5.1
2024-03-20,5.5,regn,lett bris,4.3
2024-03-21,2.0,snø,svak vind,2.8
2024-03-22,5.7,regn,lett bris,4.2
2024-03-23,4.9,overskyet,lett bris,6.1
2024-03-24,6.9,regn,laber bris,9.9
2024-03-25,6.3,regn,lett bris,4.4
2024-03-26,5.1,regn,lett bris,4.0
2024-03-27,6.1,regn,laber bris,10.7
2024-03-28,5.4,regn,lett bris,3.7
2024-03-29,3.4,sludd,lett bris,3.9
2024-03-30,5.6,regn,lett bris,4.7
2024-03-31,6.7,regn,lett bris,3.9
2024-04-01,5.0,regn,lett bris,5.1
2024-04-02,6.8,regn,lett bris,4.4
2024-04-03,7.8,regn,lett bris,4.6
2024-04-04,6.2,regn,lett bris,5.9
2024-04-05,8.1,regn,lett bris,4.9
2024-04-06,5.2,sludd,lett bris,4.2
2024-04-07,7.1,regn,lett bris,5.0
2024-04-08,7.9,regn,lett bris,4.5
2024-04-09,6.0,regn,lett bris,6.0
2024-04-10,8.2,regn,lett bris,4.1
2024-04-11,7.0,overskyet,stille,0.2
2024-04-12,9.1,regn,lett bris,4.7
2024-04-13,7.3,regn,lett bris,5.6
2024-04-14,7.9,overskyet,stille,0.1
2024-04-15,9.5,sol,lett bris,4.0
2024-04-16,8.1,regn,lett bris,4.2
2024-04-17,8.8,regn,lett bris,4.0
2024-04-18,9.8,overskyet,svak vind,1.9
2024-04-19,10.2,sol,svak vind,2.0
2024-04-20,8.3,regn,lett bris,5.3
2024-04-21,9.4,regn,lett bris,4.2
2024-04-22,10.8,regn,lett bris,4.7
2024-04-23,9.5,overskyet,svak vind,2.1
2024-04-24,10.4,regn,lett bris,5.9
2024-04-25,9.1,regn,lett bris,4.1
2024-04-26,8.6,regn,lett bris,4.6
2024-04-27,10.9,sol,svak vind,1.8
2024-04-28,9.2,overskyet,stille,0.2
2024-04-29,11.0,regn,lett bris,5.2
2024-04-30,8.7,regn,lett bris,4.0
2024-05-01,9.8,overskyet,svak vind,2.4
2024-05-02,10.7,regn,lett bris,3.9
2024-05-03,11.4,regn,lett bris,5.3
2024-05-04,9.9,regn,lett bris,5.7
2024-05-05,10.8,regn,lett bris,4.9
2024-05-06,13.2,sol,svak vind,1.9
2024-05-07,12.0,regn,lett bris,4.6
2024-05-08,11.3,regn,lett bris,4.0
2024-05-09,13.7,overskyet,svak vind,2.0
2024-05-10,13.5,overskyet,svak vind,2.3
2024-05-11,14.3,regn,lett bris,4.8
2024-05-12,15.2,sol,svak vind,2.9
2024-05-13,13.6,regn,lett bris,4.1
2024-05-14,15.4,sol,svak vind,2.5
2024-05-15,14.2,regn,lett bris,3.8
2024-05-16,13.7,regn,lett bris,4.0
2024-05-17,15.9,sol,svak vind,2.4
2024-05-18,15.1,overskyet,lett bris,3.6
2024-05-19,14.0,regn,lett bris,4.5
2024-05-20,13.2,regn,lett bris,3.9
2024-05-21,16.0,sol,svak vind,2.7
2024-05-22,14.8,regn,lett bris,4.4
2024-05-23,15.3,overskyet,svak vind,2.5
2024-05-24,13.5,regn,lett bris,4.7
2024-05-25,13.8,regn,lett bris,5.1
2024-05-26,16.4,sol,svak vind,2.3
2024-05-27,14.9,regn,lett bris,4.6
2024-05-28,15.2,overskyet,lett bris,3.8
2024-05-29,17.3,sol,svak vind,2.8
2024-05-30,14.0,regn,lett bris,4.3
2024-05-31,13.7,regn,lett bris,5.0
2024-06-01,16.2,regn,lett bris,4.7
2024-06-02,14.7,regn,lett bris,4.9
2024-06-03,17.5,sol,svak vind,2.1
2024-06-04,15.3,overskyet,lett bris,3.6
2024-06-05,14.6,regn,lett bris,4.0
2024-06-06,16.9,regn,lett bris,4.4
2024-06-07,17.8,sol,svak vind,2.3
2024-06-08,16.4,regn,lett bris,4.8
2024-06-09,15.0,regn,lett bris,4.5
2024-06-10,18.1,sol,svak vind,2.2
2024-06-11,17.3,sol,svak vind,2.0
2024-06-12,15.7,regn,lett bris,4.1
2024-06-13,16.2,overskyet,lett bris,3.9
2024-06-14,18.9,sol,svak vind,2.4
2024-06-15,19.5,sol,svak vind,2.6
2024-06-16,16.1,regn,lett bris,4.3
2024-06-17,17.2,overskyet,lett bris,3.7
2024-06-18,18.3,sol,svak vind,2.7
2024-06-19,15.8,regn,lett bris,4.1
2024-06-20,16.7,regn,lett bris,4.6
2024-06-21,19.2,sol,svak vind,2.2
2024-06-22,18.4,sol,svak vind,2.5
2024-06-23,17.1,overskyet,lett bris,3.8
2024-06-24,16.9,regn,lett bris,4.4
2024-06-25,19.6,sol,svak vind,2.8
2024-06-26,17.5,regn,lett bris,4.9
2024-06-27,18.2,sol,svak vind,2.4
2024-06-28,16.8,regn,lett bris,4.5
2024-06-29,17.0,overskyet,lett bris,3.9
2024-06-30,20.2,sol,svak vind,2.9
2024-07-01,18.3,regn,lett bris,4.2
2024-07-02,19.1,sol,svak vind,2.6
2024-07-03,17.6,overskyet,lett bris,3.8
2024-07-04,18.5,regn,lett bris,4.1
2024-07-05,21.4,sol,svak vind,2.7
